fountaintype,position,propname,borough,fountaincount,district,point
A,Under Tree,Flushing Meadows Corona Park,Q,1,"A, Under Tree"," (-73.8504468840541,40.746248609833906)"
A,"Under Tree, Near Ballfield, Just Outside Playground",Harlem Lane Playground,M,1,"A, Under Tree, Near Ballfield, Just Outside Playground"," (-73.93484242696265,40.82567286313948)"
A,Near Ballfield,Big Bush Playground,Q,1,"A, Near Ballfield"," (-73.9028125535316,40.73906929924385)"
CS Metal,"Under Tree, In Playground, Near Ballfield,In_Playground,Near_Ballfield",Sol Lain Plgd,M,1,"CS Metal, Under Tree, In Playground, Near Ballfield,In_Playground,Near_Ballfield"," (-73.98397527486135,40.71437361205946)"
Other,Out in Open,West Harlem Piers,M,1,"Other, Out in Open"," (-73.96132928963269,40.81855728100821)"
C,"Under Tree, In Playground",Utopia Playground,Q,1,"C, Under Tree, In Playground"," (-73.79237257239393,40.730829462709835)"
Bottle Filler High Low,Just Outside Playground,Conch Playground,Q,3,"Bottle Filler High Low, Just Outside Playground"," (-73.78016825167533,40.59548204164144)"
C,"Under Tree, In Playground",Dry Dock Playground,M,1,"C, Under Tree, In Playground"," (-73.97531936948485,40.72561630223119)"
A,Under Tree,Yellowstone Park,Q,1,"A, Under Tree"," (-73.84716867264844,40.72620244124783)"
A,"Out in Open, Near Ballfield",Cunningham Park,Q,1,"A, Out in Open, Near Ballfield"," (-73.76464611847057,40.739390402608215)"
A,"Under Tree, In Playground",Linden Park,B,1,"A, Under Tree, In Playground"," (-73.8874348065363,40.65797494229162)"
A,"In Shade, Under Tree, In Playground",Claremont Park,X,1,"A, In Shade, Under Tree, In Playground"," (-73.90792100771846,40.83777143384104)"
B,"Under Tree, In Shade, Just Outside Playground",Central Park,M,1,"B, Under Tree, In Shade, Just Outside Playground"," (-73.97020419059476,40.770073827176546)"
C,In Playground,Bronx River Parkway,X,1,"C, In Playground"," (-73.87105599544378,40.872945947755454)"
D,Under Tree,Harvey Park,Q,1,"D, Under Tree"," (-73.82375812542291,40.78449051323332)"
CS Metal,,Jesse Owens Playground,B,1,"CS Metal,"," (-73.93247270174403,40.69165495842502)"
C,"In Playground, Under Tree",Beanstalk Playground,X,1,"C, In Playground, Under Tree"," (-73.91666129037834,40.853845296730185)"
E High Low,Near Ballfield,Randall's Island Park,M,2,"E High Low, Near Ballfield"," (-73.92404191536181,40.79352425437318)"
D,In Playground,Flushing Meadows Corona Park,Q,1,"D, In Playground"," (-73.84941231729981,40.740931774935554)"
E,Out in Open,Washington Square Park,M,1,"E, Out in Open"," (-73.99819159602784,40.73076332336722)"
A,"In Shade, Under Tree, Near Ballfield, In Playground",Courtney Callender Playground,M,1,"A, In Shade, Under Tree, Near Ballfield, In Playground"," (-73.94030383184443,40.81007521465793)"
A,Near Ballfield,Frank Principe Park,Q,1,"A, Near Ballfield"," (-73.90377858339662,40.726621737704455)"
Indoor Drinking Fountain,Indoor,Central Park,M,1,"Indoor Drinking Fountain, Indoor"," (-73.95309000647102,40.79370575146662)"
C,In Playground,Raymond Bush Playground,B,1,"C, In Playground"," (-73.9391456041752,40.6866018061157)"
Bottle Filler High Low,,Faber Pool and Park,R,0,"Bottle Filler High Low,"," (-74.13535478007987,40.64039416821278)"
Indoor Drinking Fountain,Indoor,St. Vartan Park,M,1,"Indoor Drinking Fountain, Indoor"," (-73.9732576710319,40.744946863446)"
A,"Under Tree, In Playground",Lafayette Gardens Playground,B,1,"A, Under Tree, In Playground"," (-73.9574368436028,40.68946353035645)"
A,In Playground,Louis Pasteur Park,Q,1,"A, In Playground"," (-73.73547629951616,40.761805028278296)"
A,Near Ballfield,Bridge Park,B,1,"A, Near Ballfield"," (-73.98585829604203,40.70140427988355)"
E,Out in Open,Manhattan Beach Park,B,1,"E, Out in Open"," (-73.94539035664808,40.576569504454454)"
A,"Near Ballfield, In Playground",Midland Playground,R,1,"A, Near Ballfield, In Playground"," (-74.09891896332826,40.575321422151326)"
Indoor Drinking Fountain,Indoor,Marcus Garvey Park,M,1,"Indoor Drinking Fountain, Indoor"," (-73.94346246370314,40.80538041052357)"
D,In Playground,Flushing Meadows Corona Park,Q,1,"D, In Playground"," (-73.84888312033954,40.74125044259097)"
D,"In Playground, Near Ballfield",Nathan Straus Playground,M,1,"D, In Playground, Near Ballfield"," (-73.98402878980643,40.71905778593523)"
A,"Under Tree, In Shade",Trinity Park,B,1,"A, Under Tree, In Shade"," (-73.98431185276507,40.698551491283446)"
